Number,City,Gender,Age,Income,Illness
1,0,0,41,40367.0,0
2,0,0,54,45084.0,0
3,0,0,42,52483.0,0
4,0,0,40,40941.0,0
5,0,0,46,50289.0,0
6,0,1,36,50786.0,0
7,0,1,32,33155.0,0
8,0,0,39,30914.0,0
9,0,0,51,68667.0,0
10,0,1,30,50082.0,0
11,0,1,48,41524.0,1
12,0,0,47,54777.0,0
13,0,0,46,62749.0,0
14,0,1,42,50894.0,0
15,0,1,61,38429.0,0
16,0,0,43,34074.0,0
17,0,0,27,50398.0,0
18,0,0,38,46373.0,1
19,0,0,47,51137.0,0
20,0,1,35,23688.0,0
21,0,0,57,17378.0,0
22,0,0,33,45919.0,0
23,0,1,33,23001.0,0
24,0,1,27,34292.0,1
25,0,0,58,55190.0,0
26,0,0,64,26169.0,0
27,0,0,58,57322.0,0
28,0,0,44,61704.0,0
29,0,0,34,53619.0,0
30,0,0,45,47421.0,1
31,0,1,44,40353.0,0
32,0,0,39,28125.0,0
33,0,1,55,42630.0,0
34,0,0,27,56645.0,0
35,0,1,63,41946.0,0
36,0,0,41,50312.0,0
37,0,0,64,47872.0,0
38,0,1,41,29538.0,0
39,0,1,61,39881.0,1
40,0,1,59,48518.0,0
41,0,1,26,16168.0,1
42,0,0,41,68522.0,0
43,0,1,47,50750.0,0
44,0,1,58,49614.0,0
45,0,0,33,56169.0,0
46,0,1,30,40661.0,0
47,0,0,51,53730.0,0
48,0,1,45,34613.0,0
49,0,1,38,35249.0,0
50,0,1,56,52218.0,0
51,0,1,55,47702.0,0
52,0,0,42,62512.0,0
53,0,1,58,48655.0,0
54,0,0,57,55133.0,0
55,0,0,32,39309.0,0
56,0,1,55,41036.0,0
57,0,0,62,60594.0,0
58,0,1,43,46373.0,0
59,0,0,35,53303.0,0
60,0,1,31,42281.0,0
61,0,1,46,48268.0,0
62,0,0,49,36223.0,0
63,0,1,54,36552.0,0
64,0,1,63,36222.0,0
65,0,1,58,53333.0,0
66,0,1,53,40244.0,0
67,0,0,61,53713.0,0
68,0,0,44,42823.0,0
69,0,0,51,44030.0,1
70,0,1,44,25604.0,0
71,0,1,38,31953.0,1
72,0,1,57,46137.0,0
73,0,0,44,50089.0,0
74,0,0,27,53213.0,0
75,0,1,41,27897.0,0
76,0,0,43,26997.0,0
77,0,0,46,29374.0,0
78,0,0,55,44003.0,0
79,0,0,53,58625.0,0
80,0,1,43,52935.0,0
81,0,0,46,60637.0,0
82,0,0,46,27092.0,1
83,0,0,43,49741.0,0
84,0,1,51,31416.0,0
85,0,1,40,46882.0,0
86,0,1,34,33246.0,0
87,0,1,58,32567.0,0
88,0,0,29,49798.0,0
89,0,0,28,38119.0,0
90,0,1,30,27446.0,0
91,0,0,28,54937.0,0
92,0,1,25,34653.0,0
93,0,0,37,63495.0,0
94,0,1,62,38385.0,0
95,0,0,45,40789.0,0
96,0,0,48,62287.0,0
97,0,1,30,47982.0,0
98,0,0,44,47860.0,1
99,0,0,62,49231.0,0
100,0,1,48,42252.0,1
101,0,0,46,68275.0,0
102,0,0,48,48433.0,0
103,0,0,61,42379.0,0
104,0,0,63,44965.0,0
105,0,1,56,40122.0,0
106,0,0,63,48512.0,0
107,0,1,48,47466.0,1
108,0,0,47,30382.0,0
109,0,1,38,46733.0,0
110,0,1,64,40960.0,0
111,0,0,46,39085.0,0
112,0,1,59,49691.0,0
113,0,0,39,53649.0,0
114,0,0,38,37010.0,0
115,0,0,58,46788.0,1
116,0,0,59,61700.0,0
117,0,0,48,58460.0,1
118,0,1,31,19155.0,0
119,0,1,54,56868.0,0
120,0,0,46,46954.0,0
121,0,0,43,64376.0,1
122,0,0,38,35911.0,0
123,0,1,28,48836.0,0
124,0,0,62,62174.0,0
125,0,1,62,46385.0,0
126,0,1,32,52215.0,0
127,0,0,45,36702.0,0
128,0,1,31,36979.0,0
129,0,0,37,58357.0,0
130,0,0,44,59426.0,0
131,0,1,59,48994.0,0
132,0,0,37,61390.0,0
133,0,1,35,49629.0,0
134,0,1,65,33676.0,0
135,0,1,40,45797.0,0
136,0,0,59,45130.0,1
137,0,0,56,43573.0,0
138,0,1,56,57028.0,0
139,0,0,53,68679.0,0
140,0,0,45,51435.0,0
141,0,0,60,48559.0,0
142,0,1,53,38692.0,1
143,0,1,37,46382.0,0
144,0,1,40,48550.0,0
145,0,1,56,59945.0,0
146,0,1,28,51127.0,0
147,0,0,42,26301.0,0
148,0,0,60,50057.0,0
149,0,1,58,31472.0,0
150,0,1,48,42926.0,0
151,0,0,37,60150.0,0
152,0,0,51,38416.0,0
153,0,1,54,43810.0,0
154,0,0,63,71551.0,1
155,0,1,36,25564.0,1
156,0,1,32,28551.0,0
157,0,0,48,45591.0,0
158,0,1,51,47559.0,0
159,0,0,59,53835.0,0
160,0,0,29,55545.0,0
161,0,1,27,57903.0,1
162,0,0,49,63544.0,0
163,0,1,54,39273.0,0
164,0,1,63,38841.0,0
165,0,1,47,48520.0,0
166,0,0,55,54849.0,0
167,0,0,45,50114.0,0
168,0,1,43,36894.0,0
169,0,0,25,42719.0,0
170,0,1,56,47347.0,0
171,0,1,54,35471.0,0
172,0,0,40,60636.0,0
173,0,1,28,48996.0,0
174,0,1,44,39808.0,0
175,0,0,47,45383.0,0
176,0,0,25,43413.0,0
177,0,1,65,50311.0,0
178,0,1,38,45187.0,0
179,0,0,54,60128.0,0
180,0,0,64,55066.0,1
181,0,1,38,41409.0,0
182,0,0,51,48899.0,0
183,0,1,28,32130.0,0
184,0,0,50,59841.0,0
185,0,0,47,40709.0,0
186,0,1,41,25012.0,0
187,0,0,28,40712.0,0
188,0,1,44,36038.0,0
189,0,1,56,47102.0,0
190,0,0,30,63365.0,0
191,0,0,64,22134.0,0
192,0,0,34,40684.0,0
193,0,0,52,51919.0,0
194,0,1,54,40526.0,0
195,0,0,52,48386.0,0
196,0,0,32,46196.0,0
197,0,0,51,44816.0,0
198,0,0,45,63285.0,0
